2020-03-12 11:13:13,1238060471569260546,"Her curves
Perfect fit
For my hands

Her lips
Sweetest taste
On my tongue

Her heart
Beats the rhythm
Of my soul

#Love #Poetry ✍️","her curves
perfect fit
for my hands

her lips
sweetest taste
on my tongue

her heart
beats the rhythm
of my soul

#love #poetry ✍️
",happy
2020-03-12 11:12:35,1238060312525303814,"I thought we had it together but well
#HAPPY","i thought we had it together but well
#happy
",happy
2020-03-12 11:10:09,1238059700048015360,What an amazing and wonderful day it is. I hope everyone is finding the #Love &amp; splendor of this day ~’~,"what an amazing and wonderful day it is. i hope everyone is finding the #love &amp; splendor of this day ~’~
",happy
2020-03-12 11:00:10,1238057186938335233,"""Blessed is the influence of one true, loving human soul on another.""
~ George Eliot #love #quotes","""blessed is the influence of one true, loving human soul on another.""
~ george elint #love #quotes
",happy
2020-03-12 11:00:04,1238057164788215809,"""Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love.""
~ Lao Tzu #love #quotes","""kindness in words creates confidence. kindness in thinking creates profoundness. kindness in giving creates love.""
~ lao tu #love #quotes
",happy
2020-03-12 10:58:35,1238056790425833472,Nothing is better than getting to spend every day with the love of your life. My heart is full every day #love #200somedays,"nothing is better than getting to spend every day with the love of your life. my heart is full every day #love #200somedays
",happy
2020-03-12 10:54:53,1238055860762443776,"Love does no wrong to a neighbor. Love, therefore, is the fulfillment of the law.
[Romans 13:10] #Love","love does no wrong to a neighbor. love, therefore, is the fulfillment of the law.
[romans 13:10] #love
",happy
2020-03-12 10:54:09,1238055674510270464,"Dear Twitter Family. With all the sad and negative coronavirus updates.... I challenge you all to share pics, jokes, memes #happy thoughts. Please share. Have an Uber day 👍","dear twitter family. with all the sad and negative coronavirus updates.. i challenge you all to share pics, jokes, memes #happy thoughts. please share. have an user day 👍
",happy
2020-03-12 10:53:01,1238055390295789568,#amreading a book about anti-gravity. I can't put it down! #happy,"#adreading a book about anti-gravity. i cannot put it down! #happy
",happy
2020-03-12 10:48:48,1238054327895445506,Your more thank welcome #happy holiday,"your more thank welcome #happy holiday
",happy
2020-03-12 10:42:27,1238052732344270849,"Be happy and forget me
I hope you’re H A P P Y
Be happy and forget me
I wish you’re H A P P Y
#HAPPY","be happy and forget me
i hope you’re h a p p y
be happy and forget me
i wish you’re h a p p y
#happy
",happy
2020-03-12 10:39:12,1238051914157182976,I #love Mickey Mouse more than any woman I have ever known,"i #love mickey mouse more than any woman i have ever known
",happy
2020-03-12 10:32:50,1238050312050446342,Love them who loves you💯🖤#love,"love them who loves you💯🖤#love
",happy
2020-03-12 10:32:25,1238050203417972736,"Dear friend, just for today, could not judge yourself harshly ?

After all , you are beautiful!

#love","dear friend, just for today, could not judge yourself harshly ?

after all , you are beautiful!

#love
",happy
2020-03-12 10:18:14,1238046635034279939,"I hear the words
Coming from your soul
For it is my heart
That is listening

#Love
#Poetry ✍️","i hear the words
coming from your soul
for it is my heart
that is listening

#love
#poetry ✍️
",happy
2020-03-12 10:13:23,1238045416157057025,YOU ARE! loved YOU CAN! Do it #Love,"you are! loved you can! do it #love
",happy
2020-03-12 10:12:33,1238045204180897792,"Without you, I’m not happy
but I hope you’re happy
I’ll watch over you from far away
Without you, I’m not happy
but I hope you’re happy
I’ll push back
all of the memories
#HAPPY","without you, i’m not happy
but i hope you’re happy
i’ll watch over you from far away
without you, i’m not happy
but i hope you’re happy
i’ll push back
all of the memories
#happy
",happy
2020-03-12 10:01:18,1238042373399162881,#Quote 213-Divorce step 9: Learning to Live Independently and Taking New Steps Toward Romantic Happiness #love romance dating single,"#quote 213-divorce step 9: learning to live independently and taking new steps toward romantic happiness #love romance dating single
",happy
2020-03-12 09:59:29,1238041917016989697,Do something that makes you #happy today. You deserve it!,"do something that makes you #happy today. you deserve it!
",happy
2020-03-12 09:44:27,1238038135658786818,"#Hate comes from intimidation, 
#Love comes from appreciation.","#hate comes from intimidation, 
#love comes from appreciation.
",happy
2020-03-12 09:43:09,1238037808754745344,"You love me, I love you. You hate me, but I still #love you. | #teamfollowback","you love me, i love you. you hate me, but i still #love you. | #teamfollowback
",happy
2020-03-12 09:42:35,1238037663644635136,We're soul mates ! #LOVE,"we are soul mates ! #love
",happy
2020-03-12 09:42:27,1238037631226621952,"For you, I’ll give
a sad bye bye bye
Because you’ll be
happy if I’m gone. 
#HAPPY","for you, i’ll give
a sad bye bye bye
because you’ll be
happy if i’m gone. 
#happy
",happy
